AD,ED,Democratic,CountyCommitteeCount,VoteTally
41,1,1220,4,488
41,2,1031,4,439
41,3,793,3,325
41,4,1154,4,528
41,5,938,4,321
41,6,992,4,367
41,7,1053,4,421
41,8,963,4,391
41,9,1175,4,343
41,10,745,3,327
41,11,959,4,622
41,12,694,3,168
41,13,699,3,252
41,14,683,3,66
41,15,312,2,71
41,16,634,3,183
41,17,814,3,293
41,18,734,3,300
41,19,883,3,358
41,20,148,2,37
41,21,252,2,75
41,22,964,4,173
41,23,593,2,138
41,24,689,3,124
41,25,712,3,136
41,26,724,3,191
41,27,721,3,174
41,28,503,2,92
41,29,544,2,84
41,30,574,2,155
41,31,378,2,114
41,32,813,3,313
41,33,822,3,179
41,34,771,3,231
41,35,613,3,91
41,36,324,2,87
41,37,361,2,56
41,38,213,2,
41,39,249,2,
41,40,579,2,130
41,41,704,3,100
41,42,629,3,149
41,43,562,2,143
41,44,488,2,133
41,45,612,3,218
41,46,462,2,111
41,47,604,2,127
41,48,522,2,259
41,49,1091,4,220
41,50,747,3,178
41,51,552,2,140
41,52,817,3,312
41,53,351,2,86
41,54,203,2,80
41,55,568,2,156
41,56,492,2,109
41,57,435,2,115
41,58,597,2,183
41,59,218,2,80
41,60,294,2,177
41,61,533,2,140
41,62,1,2,0
41,63,621,3,152
41,64,505,2,140
41,65,206,2,86
41,66,395,2,99
41,67,354,2,88
41,68,186,2,68
41,69,179,2,28
41,70,256,2,
41,71,408,2,
41,72,0,2,
41,73,0,2,
41,74,0,2,
42,1,67,2,23
42,2,840,3,339
42,3,1010,4,413
42,4,1037,4,389
42,5,1030,4,376
42,6,1134,4,436
42,7,1320,4,508
42,8,684,3,246
42,9,1129,4,393
42,10,1157,4,282
42,11,1088,4,426
42,12,1137,4,437
42,13,1231,4,464
42,14,1041,4,339
42,15,1058,4,421
42,16,1085,4,336
42,17,1231,4,394
42,18,857,3,282
42,19,1192,4,412
42,20,1129,4,395
42,21,1131,4,417
42,22,980,4,407
42,23,1156,4,484
42,24,1128,4,396
42,25,1070,4,353
42,26,861,3,582
42,27,316,2,384
42,28,44,2,341
42,29,1146,4,300
42,30,775,3,304
42,31,935,4,417
42,32,798,3,535
42,33,963,4,341
42,34,667,3,267
42,35,963,4,366
42,36,1036,4,354
42,37,1182,4,394
42,38,1141,4,411
42,39,1082,4,363
42,40,907,3,359
42,41,1086,4,377
42,42,868,3,378
42,43,1195,4,396
42,44,827,3,263
42,45,702,3,278
42,46,765,3,270
42,47,1002,4,428
42,48,113,2,10
42,49,986,4,335
42,50,1160,4,425
42,51,765,3,279
42,52,769,3,70
42,53,985,4,261
42,54,908,3,33
42,55,806,3,225
42,56,627,3,101
42,57,239,2,12
42,58,926,4,141
42,59,560,2,45
42,60,746,3,0
42,61,1212,4,0
42,62,0,2,
43,1,985,4,373
43,2,1079,4,406
43,3,1001,4,406
43,4,1261,4,463
43,5,773,3,295
43,6,1009,4,353
43,7,1282,4,386
43,8,778,3,302
43,9,633,3,311
43,10,1046,4,378
43,11,857,3,341
43,12,771,3,280
43,13,1003,4,373
43,14,738,3,268
43,15,824,3,270
43,16,1062,4,331
43,17,789,3,157
43,18,1072,4,434
43,19,1074,4,435
43,20,1005,4,229
43,21,867,3,149
43,22,1066,4,231
43,23,1053,4,363
43,24,840,3,191
43,25,902,3,237
43,26,570,2,127
43,27,978,4,211
43,28,648,3,65
43,29,1054,4,300
43,30,1194,4,392
43,31,1111,4,472
43,32,1027,4,382
43,33,1212,4,434
43,34,959,4,371
43,35,1123,4,460
43,36,1044,4,419
43,37,1278,4,448
43,38,1148,4,506
43,39,935,4,481
43,40,1137,4,451
43,41,1108,4,466
43,42,995,4,419
43,43,1005,4,314
43,44,1068,4,346
43,45,1202,4,355
43,46,664,3,375
43,47,1429,4,383
43,48,166,2,144
43,49,1141,4,262
43,50,707,3,204
43,51,645,3,19
43,52,1100,4,558
43,53,1134,4,446
43,54,1199,4,464
43,55,935,4,337
43,56,1178,4,420
43,57,1288,4,552
43,58,840,3,346
43,59,1196,4,426
43,60,954,4,382
43,61,922,4,356
43,62,697,3,287
43,63,922,4,345
43,64,1209,4,474
43,65,960,4,417
43,66,997,4,413
43,67,1249,4,449
43,68,479,2,190
44,1,842,3,355
44,2,972,4,365
44,3,208,2,119
44,4,706,3,272
44,5,609,2,309
44,6,1313,4,650
44,7,1153,4,570
44,8,1012,4,466
44,9,1024,4,437
44,10,919,4,467
44,11,555,2,241
44,12,1345,4,577
44,13,356,2,195
44,14,1168,4,511
44,15,281,2,146
44,16,1512,4,828
44,17,1204,4,635
44,18,943,4,484
44,19,629,3,409
44,20,510,2,176
44,21,762,3,348
44,22,784,3,391
44,23,1050,4,609
44,24,881,3,524
44,25,1056,4,616
44,26,821,3,485
44,27,946,4,543
44,28,975,4,579
44,29,1110,4,594
44,30,883,3,536
44,31,1212,4,592
44,32,1184,4,576
44,33,1224,4,559
44,34,660,3,317
44,35,767,3,319
44,36,1177,4,626
44,37,1061,4,590
44,38,1047,4,601
44,39,925,4,480
44,40,630,3,365
44,41,756,3,602
44,42,495,2,84
44,43,845,3,329
44,44,1033,4,294
44,45,819,3,177
44,46,915,3,507
44,47,704,3,182
44,48,883,3,193
44,49,387,2,25
44,50,326,2,26
44,51,390,2,22
44,52,134,2,23
44,53,737,3,135
44,54,904,3,453
44,55,270,2,104
44,56,868,3,437
44,57,867,3,206
44,58,691,3,247
44,59,635,3,292
44,60,284,2,168
44,61,1397,4,426
44,62,927,4,354
44,63,1259,4,267
44,64,990,4,313
44,65,672,3,512
44,66,1106,4,303
